iter	Passed	Remaining
636	17026	9702
637	17053	9676
638	17078	9648
639	17105	9622
640	17132	9595
641	17159	9568
642	17185	9541
643	17216	9516
644	17242	9489
645	17267	9462
646	17292	9434
647	17317	9407
648	17342	9379
649	17367	9351
650	17394	9325
651	17421	9298
652	17447	9271
653	17472	9243
654	17498	9216
655	17523	9189
656	17549	9162
657	17577	9136
658	17604	9109
659	17631	9082
660	17656	9055
661	17685	9029
662	17710	9002
663	17736	8975
664	17762	8948
665	17788	8920
666	17815	8894
667	17841	8867
668	17867	8840
669	17893	8813
670	17918	8785
671	17944	8758
672	17970	8731
673	18001	8707
674	18028	8680
675	18053	8653
676	18079	8625
677	18105	8598
678	18131	8571
679	18158	8545
680	18184	8518
681	18211	8491
682	18236	8463
683	18261	8436
684	18287	8409
685	18313	8382
686	18338	8355
687	18365	8328
688	18390	8300
689	18416	8274
690	18443	8247
691	18470	8220
692	18495	8193
693	18521	8166
694	18545	8138
695	18572	8112
696	18599	8085
697	18625	8058
698	18652	8031
699	18678	8004
700	18704	7978
701	18730	7951
702	18756	7924
703	18781	7896
704	18806	7869
705	18836	7844
706	18886	7826
707	18915	7801
708	18942	7774
709	18968	7747
710	18995	7720
711	19022	7694
712	19046	7666
713	19072	7639
714	19098	7612
715	19124	7585
716	19151	7559
717	19178	7532
718	19207	7506
719	19233	7479
720	19259	7452
721	19290	7427
722	19316	7400
723	19342	7373
724	19367	7346
725	19393	7319
726	19419	7292
727	19444	7265
728	19470	7238
729	19496	7211
730	19523	7184
731	19549	7157
732	19575	7130
733	19601	7103
734	19627	7076
735	19653	7049
736	19680	7023
737	19706	6996
738	19732	6969
739	19758	6942
740	19783	6914
741	19809	6888
742	19835	6861
743	19863	6834
744	19889	6807
745	19914	6780
746	19941	6753
747	19966	6726
748	19992	6699
749	20018	6672
750	20044	6645
751	20070	6619
752	20095	6591
753	20122	6565
754	20147	6538
755	20173	6511
756	20201	6484
757	20227	6457
758	20252	6430
759	20278	6403
760	20304	6376
761	20333	6350
762	20359	6323
763	20384	6296
764	20410	6269
765	20436	6242
766	20462	6216
767	20487	6188
768	20512	6161
769	20538	6134
770	20564	6107
771	20591	6081
772	20616	6054
773	20643	6027
774	20669	6000
775	20694	5973
776	20722	5947
777	20747	5920
778	20773	5893
779	20798	5866
780	20824	5839
781	20850	5812
782	20875	5785
783	20901	5758
784	20927	5731
785	20954	5705
786	20980	5678
787	21006	5651
788	21034	5625
789	21061	5598
790	21086	5571
791	21112	5544
792	21139	5518
793	21166	5491
794	21191	5464
795	21224	5439
796	21250	5412
797	21278	5386
798	21304	5359
799	21329	5332
800	21354	5305
801	21380	5278
802	21406	5251
803	21433	5225
804	21459	5198
805	21485	5171
806	21512	5144
807	21539	5118
808	21564	5091
809	21590	5064
810	21617	5037
811	21643	5011
812	21668	4984
813	21694	4957
814	21720	4930
815	21746	4903
816	21773	4877
817	21800	4850
818	21825	4823
819	21851	4796
820	21876	4769
821	21902	4742
822	21930	4716
823	21956	4689
824	21984	4663
